Province,District,Sector,Identifier,pop2012,pop2022,pop2022_urbM,pop2022_urbF,pop2022_rurM,pop2022_rurF,sector_household_size,nDwellings_urb,nDwellings_rur,Wood with mud,Sun dried bricks,All non durable wall materials,Cement blocks,Concrete,Stone,Timber,Burnt bricks,Roof Iron Sheets,Roof Tiles,Roof Concrete,Roof Grass
Northern Province,Gicumbi,Kageyo,GicumbiKageyo,"30,270","20,888","3,178","3,468","6,709","7,533",4.15959151,1597.753045,3423.893901,9.018054163,88.577332,0,0,0,0.200401204,0,2.104212638,80.8,19.2,0,0
Northern Province,Gicumbi,Kaniga,GicumbiKaniga,"15,035","16,772",,,"8,056","8,716",4.180364726,0,4012.090116,10.7107322,87.58776329,0,0.400401204,0,0.100100301,0,1.001003009,98.9989,1.1011,0,0
Northern Province,Gicumbi,Manyagiro,GicumbiManyagiro,"19,371","22,635",,,"10,933","11,702",4.12776054,0,5483.60298,5.894404883,93.80233978,0,0,0,0,0,0.203255341,98.2982983,1.7017017,0,0
Northern Province,Gicumbi,Miyove,GicumbiMiyove,"16,299","20,223",,,"9,510","10,713",3.934994161,0,5139.27065,2.91750503,94.66800805,0,0.301810865,0,0.804828974,0,1.307847083,80.1,19.8,0,0
Northern Province,Gicumbi,Mukarange,GicumbiMukarange,"16,081","18,543",,,"8,831","9,712",4.182351614,0,4433.630099,3.819095477,95.87939699,0,0,0,0.100502513,0,0.201005025,99.7998998,0.1001002,0,0
Northern Province,Gicumbi,Muko,GicumbiMuko,"17,647","20,050",,,"9,656","10,394",3.963197467,0,5059.04643,63.5452621,32.3265121,0,0.100705645,0,0.100705645,0,3.826814516,100,0,0,0
Northern Province,Gicumbi,Mutete,GicumbiMutete,"23,053","27,517",,,"12,960","14,557",3.931616595,0,6998.902191,13.75496489,84.83901705,0,0,0,0.200802407,0,1.305215647,72.1,27.9,0,0
Northern Province,Gicumbi,Nyamiyaga,GicumbiNyamiyaga,"18,284","20,939",,,"10,040","10,899",4.138647152,0,5059.382748,40.44052156,57.65777332,0,0,0,0.100100301,0,1.601604814,94.5,5.4,0,0
Northern Province,Gicumbi,Nyankenke,GicumbiNyankenke,"21,560","27,183",,,"14,830","12,353",3.956893602,0,6869.782898,3.015045135,96.48144433,0.100501505,0,0,0.201003009,0,0.402006018,85,14.9,0,0
Northern Province,Gicumbi,Rubaya,GicumbiRubaya,"10,509","12,044",,,"5,801","6,243",4.071767095,0,2957.929498,14.82968907,82.76569709,0,0,0,0.200401204,0,2.104212638,95.6,4.5,0,0
